Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,inning
2014,MLB,4463,0.104190006,0.218686981,0.476434426,0.24712343,0.333791523,0.375523012,0.709314535,0.128399582,0.305035971,470.063563,-9.708945002,0.307172661,96.35365921,10
2015,MLB,20864,0.078268788,0.194114263,0.403209876,0.268928115,0.330641672,0.437367077,0.768008749,0.168438962,0.308693826,2676.74367,329.5437317,0.333052668,110.5658886,1
2015,MLB,20191,0.067158635,0.211529889,0.317490049,0.249061735,0.305231107,0.397117215,0.702348322,0.14805548,0.295252008,2135.725238,-135.7622014,0.305751779,91.48988478,2
2015,MLB,20354,0.072565589,0.195686351,0.37082601,0.25298978,0.312692117,0.400086975,0.712779092,0.147097195,0.294386516,2229.785455,-60.03948458,0.310638831,94.8052257,3
2015,MLB,20609,0.07404532,0.192149061,0.385353535,0.263516412,0.32257907,0.422548809,0.745127879,0.159032397,0.303049465,2458.057258,139.5448199,0.322517141,102.9231393,4
2015,MLB,20665,0.075006048,0.189983063,0.394803871,0.262945636,0.323705908,0.417863096,0.741569004,0.15491746,0.30449391,2438.024841,113.2124022,0.32079235,101.9324228,5
2015,MLB,20698,0.077543724,0.190694753,0.406637952,0.258319021,0.320964839,0.419815371,0.74078021,0.16149635,0.296332724,2442.147642,113.622704,0.32051332,101.905709,6
2015,MLB,20679,0.080709898,0.206731466,0.390409356,0.253311793,0.318566838,0.39833064,0.716897478,0.145018847,0.300251889,2293.574173,-32.81326501,0.311415605,95.67609379,7
2015,MLB,20345,0.080855246,0.22221676,0.363857553,0.241039671,0.307357594,0.374610123,0.681967717,0.133570452,0.293122718,2028.638081,-260.1743584,0.297225834,86.0340106,8
2015,MLB,15408,0.07742731,0.240459501,0.3219973,0.23317031,0.298720793,0.364859033,0.663579826,0.131688723,0.290251033,1443.443342,-289.9566121,0.289763491,80.88683193,9
2015,MLB,3815,0.109829619,0.211795543,0.518564356,0.258694325,0.346307651,0.390176937,0.736484588,0.131482612,0.315285297,436.4361279,7.248639257,0.315530812,100.7305754,10
2016,MLB,21070,0.086805885,0.199098243,0.435995232,0.270019116,0.337565986,0.443022514,0.7805885,0.173003398,0.31130607,2794.440438,312.3944947,0.336079168,109.2201826,1
2016,MLB,20371,0.07505768,0.21864415,0.343286933,0.249945711,0.311727479,0.402497285,0.714224764,0.152551574,0.298636835,2232.543682,-167.1600632,0.308989277,90.66749417,2
2016,MLB,20638,0.076460897,0.200310107,0.381712626,0.260621091,0.32228739,0.41761915,0.73990654,0.156998059,0.30386266,2429.630009,-1.526336016,0.318929959,97.30938422,3
2016,MLB,20675,0.079129383,0.20019347,0.395264556,0.261152316,0.324637399,0.438944426,0.763581825,0.17779211,0.298436486,2583.237245,147.7223005,0.327572301,103.1075017,4
2016,MLB,20648,0.077392483,0.199728787,0.387487875,0.257944629,0.320565991,0.430733599,0.75129959,0.17278897,0.295449644,2487.584136,55.24979098,0.322183754,99.47803075,5
2016,MLB,20847,0.080251355,0.197294574,0.406759056,0.262521312,0.327425957,0.434676044,0.762102001,0.172154732,0.300411814,2602.180603,146.4040589,0.326936487,102.9832008,6
